,text,num_words,tag
110,"Before signing a professional baseball contract, Andrews attended Furman University in Greenville, South Carolina from 1921 to 1923.",18,comp_sent
116,"This development may have led to the evolution of a more robust ribcage, a key evolutionary trait of land-living creatures.",20,comp_sent
117,"Selve, together with the nearby Tenuta Veneria , was a filming location for Bitter Rice, a 1949 neorealistic movie starring Silvana Mangano and Vittorio Gassman.",25,comp_sent
120,"Catocala carissima, the carissima underwing, is a moth of the family Erebidae.",12,comp_sent
122,"It is an absolutely plain countryside, which was once full of fens.",12,comp_sent
123,"Unusually for the time, the car was fitted with air-conditioning.",10,comp_sent
125,"The circus freaks must stop the zombies, confront Tycho and the lunatic scientist Henry and rescue Rachel before she becomes the next victim on Henry's operating table.",27,comp_sent
128,"During the Second World War, the lantern, lens and lamp were badly damaged in a German aerial attack.",18,comp_sent
129,"It was released on October 29, 2021, by 300 Entertainment and 1501 Certified as a thank you gift to Megan's fanbase.",21,comp_sent
131,"Just two months earlier, on 15 October 1938, rebels had seized the Old City and barricaded the gates.",18,comp_sent
134,"It is bullet-shaped, with a foam rubber nose and a high-density, plastic projectile body.",14,comp_sent
135,"Most players continued playing for the team throughout the UEFA Euro 2000 qualifiers, but after Croatia failed to qualify manager Miroslav Blažević resigned and soon after that some of the players retired from the national team.",36,comp_sent
138,"On 27 February 2019 Fearne said that abortion was the reason why Malta dropped 10 places in the Public Service Ranking of the Euro health consumer index, although the official report did not match up with this claim.",38,comp_sent
140,"Hydroginella caledonica can parasitize sleeping fishes of the families Scaridae, Serranidae and Pomacentridae at coral reefs in New Caledonia by night.",21,comp_sent
141,"Symptoms are similar to the acute form of the disease, but are less severe and last longer.",17,comp_sent
142,"They play their home matches at various grounds, including Trent Bridge and Grace Road.",14,comp_sent
144,"The famous singer and musician David Bowie took the name Bowie after the Bowie knife because, in his words, it cuts both ways.",23,comp_sent
145,"Flemlingen is a municipality in Südliche Weinstraße district, in Rhineland-Palatinate, western Germany.",12,comp_sent
151,"However, in poposauroids other than Qianosuchus and Lotosaurus, the bones do not touch, leaving the acetabulum open not only from the sides, but also from below.",26,comp_sent
153,"Now abandoned, the bridge once carried the Kansas City Southern Railway across the bayou.",14,comp_sent
156,"There are three additional locations in the city, which together sell over one thousand hot dogs on a busy day.",20,comp_sent
157,"It was built in 1895 for James Lewis Burnham and his wife, née Amy Blanche Penrose, who lived here with their twelve children.",23,comp_sent
160,"It was founded in 1904 and it soon became one of the best teams in the country, winning two Romanian Championships.",21,comp_sent
161,"Reported side effects related to the accumulation of this metabolite include convulsions, agitation, hallucinations, hyperalgesia, and coma.",17,comp_sent
162,"On a gurney next to her is Raven, who speaks a few words of comfort before dying.",17,comp_sent
166,"On 22 March 2021, Chu announced her candidacy as an independent for a Seanad Éireann by-election; On 27 April 2021, on the resignation of Eoghan Murphy from his Dáil Éireann seat in Dublin Bay South, after consulting with party leadership Chu announced she would participate in the Green Party selection convention for the party nomination, competing with Dublin City councillor Claire Byrne; She was an unsuccessful candidate in the 2022 Dublin University by-election.",73,comp_sent
168,"Early common law, like canon law, In the early part of the 21st-century, the Human Rights Commission studied the circumstances of intersex people within the context of studies on the human rights situation of transgender people.",36,comp_sent
169,"Before 2014, Rotsterhaule was part of the Skarsterlân municipality and before 1984 it was part of Haskerland.",17,comp_sent
170,"A criminal nicknamed Cuckoo, following a bloody robbery, finds refuge in Leon's house, and under the threat of a gun he will be able to cease reprimands and vexations against Leon.",31,comp_sent
171,"Aided by the mysterious Bett, Jane must confront drug dealers, assassins and ruthless arms dealers in order to save her son.",21,comp_sent
173,"Darling Mine is a 1920 American silent drama film directed by Laurence Trimble and starring Olive Thomas, Walter McGrail and Walt Whitman.",22,comp_sent
179,"He led a pioneering expedition to southeast Brazil between 1815–1817, from which the album Reise nach Brasilien, which first revealed to Europe real images of Brazilian Indians, was the ultimate result.",31,comp_sent
180,"In 1956, the United States, Canada, and Mexico came to an agreement with the American Association of Motor Vehicle Administrators, the Automobile Manufacturers Association and the National Safety Council that standardized the size for license plates for vehicles issue was the first Rhode Island license plate that complied with these standards.",51,comp_sent
181,"There were sporadic media reports of the Indian Army also taking control of the Black Top hill but these were denied by the Indian government sources Gurung Hill was at the center of a network of Indian posts at Black Top, Table Top, Camel's Back, Yula, Spanggur Gap and Magar Hill.",51,comp_sent
183,"In 2004, he founded the Baloch National Movement saying that he did not see a future for the Baloch within the framework of Pakistan.",24,comp_sent
189,"The following year Farlow was appointed to the Standing Committee on Social Issues, which he chaired whilst concurrently being a member of the General Purpose Standing Committee No.",28,comp_sent
194,"The Our Lady of Lourdes Chapel, Shamian Island is a 20th-century gothic church.",13,comp_sent
199,"However even the Shah's support could not stop the Governor of Fars, Hossein Ali Mirza, from plotting against him consistently as he wanted to seize Shiraz from Ali Akbar.",29,comp_sent
200,"In 2001, Ittihad's leader Abdul Rasul Sayyaf was suspected of being complicit in the assassination of anti-Taliban leader Ahmad Shah Massoud.",21,comp_sent
201,"A trailer for the music video was released on March 24, 2009.",12,comp_sent
203,"With the influx of new residents came a number of new churches, founded for Catholic, Episcopalian, Lutheran, and Methodist parishioners, as well as a second Congregational church.",27,comp_sent
205,"She returned to the Reserve Division in 1897, and from 3 August to 25 September, operated with the newly formed II Battle Squadron during the fleet maneuvers, along with her five sister ships.",33,comp_sent
212,"Derailed by a bout of tuberculosis, occasional injuries and the perception that he would serve better as a defensive player, he served two seasons for the Kingston Frontenacs of the Eastern Professional Hockey League and six with the Hershey Bears of the American Hockey League, playing only large sections of the 1963 and 1964 seasons with the Bruins.",58,comp_sent
213,"The crew also applied the brakes too late, so that the train quickly derailed into an unrecognizable wreck.",18,comp_sent
215,"Although the section is currently extinct, there were some attempts to re-introduce the practise of rugby, but they were not finally carried out, including an unsuccessful agreement with rugby club CRC Madrid to have a team representing them at División de Honor, the first division of Spanish rugby.",48,comp_sent
216,"The track was a very tight circumference of 354 yards with a surface of peat, short straights of 86 yards and heavily banked bends.",24,comp_sent
218,"His wife died in 1959, and he was survived by one son , and two daughters, Helen Goodman and Anna Freedgood.",21,comp_sent
220,"In 2010, the group composed the film score for Disney's Tron: Legacy; the soundtrack album was released later that year.",20,comp_sent
222,"Oued El Djemaa is a town and commune in Relizane Province, Algeria.",12,comp_sent
226,"On 26 January 2015 she announced along with other eight deputies and one senator her exit from the party, and entered the new group Free Alternative.",26,comp_sent
227,"The editors wrote: Named for the Greek Goddess of the Earth, GAIA affirms the power of the life-force in fierce, joyous music that is both sexual and spiritual.",28,comp_sent
229,"Jencks of Pawtucket, Rhode Island, who names as the inventor.",10,comp_sent
230,"For many years, she lived together with her friend, the pianist Marie Roll.",13,comp_sent
232,"I think that certain errors were made as far as the promotion of the record, but I think they were innocent mistakes.",22,comp_sent
233,"The Stone of Setter is a Neolithic standing stone located on the island of Eday, in Orkney, Scotland.",18,comp_sent
234,"He had two elder half-siblings, by his father's first marriage to Harriet Westbrook, and three full siblings who died in infancy.",21,comp_sent
235,"The eponymous album was first released in 1976 in Europe and Australia, where he had top-ten hits with Morning Girl and That's Rock 'n' Roll.",25,comp_sent
238,"The Murugan temple at Tiruchendur was occupied by the Dutch East India company from 1646 to 1648, during the course of their war with the Portuguese.",26,comp_sent
240,"Born in Dublin, Tully studied at the University of London, and originally entered the film industry as a director of documentaries.",21,comp_sent
243,"Its plan is cruciform with a three-bay nave, north and south transepts, a two-bay chancel, a south vestry, and a south porch.",22,comp_sent
244,"Before being recruited into the AFL, Kennedy Harris had a regular role in the 2010 ABC 1 TV show, Dead Gorgeous, starring in all 13 episodes as Charlie.",28,comp_sent
245,"When the girls arrived in Schiphol Airport at Amsterdam, they were greeted by Holland's Next Top Model host Daphne Deckers.",20,comp_sent
250,"Since 2019, she has been a member of the Flemish parliament.",11,comp_sent
256,"In Canada, the University of Toronto's Thomas Fisher Rare Book Library owns one copy A number of copies are held by public libraries.",23,comp_sent
257,"Until the mid-2000s, the département was part of Pikine.",9,comp_sent
258,"Groves died on May 2, 2020 at the age of 30.",11,comp_sent
261,"Metrolinx is currently planning the Eglinton Crosstown West Extension, which is a western extension of the under-construction Line 5 Eglinton to a proposed transit hub at Pearson Airport across the terminals at the site of Viscount Station.",37,comp_sent
263,"The park is at the north end of Seneca Lake, one of the Finger Lakes.",15,comp_sent
266,"In 1852, he went for inhabit in Barbizon, where he lived about 4 years, and participated to the fruitful École de Barbizon.",22,comp_sent
269,"Its current tenant is K Beerschot VA, a Belgian football club.",11,comp_sent
271,"On classification by the newly formed Ministry of Transport in 1922, it formed parts of the A414.",17,comp_sent
272,"It is used to control weeds in corn, and is particularly useful as a replacement for atrazine in the case of some important weeds.",24,comp_sent
273,"In February he was able to make a second finals appearance at the challenger tournament in Burnie, going down to rising star Bernard Tomic in the final, Jones continued his good form with a finals showing in an Australian futures tournament two weeks later.",44,comp_sent
275,"In the Shōhei Reunification, Kōmyō and his companions were placed under house arrest in Yamato Province, in what is today the village of Nishiyoshino, Yoshino District, Nara.",27,comp_sent
278,"In 2010, she retired from being a teacher, from being a District Councillor for the Adjumani District Local Government, and from her roles with the National Union of Disabled Persons of Uganda and the Adjumani Disabled Persons Association to run for Parliament of Uganda.",44,comp_sent
279,"By the end of 1999, Temperamental had sold 115,000 copies in the United States, according to Billboard.",17,comp_sent
282,"In 1973, a team led by a Jean Balgou of the Astrophysical Institute flew in a Concorde jet packed with scientists.",21,comp_sent
286,"The Manahoac, also recorded as Mahock, were a small group of Siouan-language Native Americans in northern Virginia at the time of European contact.",23,comp_sent
289,"The park has a great biodiversity, it has over 865 plant species, 25 of which are endemic, from rare mammals can be found mountain goat, bobcat, caracal and wolf.",29,comp_sent
292,"It being a matter of the parties’ intentions, a charge had been created.",13,comp_sent
295,"In June 2020, Comedy Central announced it had picked up the spinoff series along with Beavis and Butt-Head.",18,comp_sent
296,"Within the framework of administrative divisions, it is, together with two rural localities, incorporated within Istrinsky District as the Town of Dedovsk.",22,comp_sent
302,"At international level, he represented the France national football team on seven occasions between 1973 and 1979, scoring once.",19,comp_sent
305,"Swimmy is the 32nd single by the Japanese J-pop group Every Little Thing, released on August 30, 2006.",18,comp_sent
307,"Powellisetia is a genus of minute sea snails, marine gastropod mollusks or micromollusks in the family Rissoidae.",17,comp_sent
313,"She stated in Yad Vashem: As president of Croatia, I express my deepest regret to all the victims of the Holocaust that were killed by the hands of the collaborationist Ustasha regime during World War II.",36,comp_sent
316,"They also ended the Saints' bid for a perfect season after a 13–0 start with a 24–17 victory on December 19, 2009.",22,comp_sent
317,"Three songs on the album originally appeared on her fourth studio album In the Glow : One Day, Glow and In the Sun.",23,comp_sent
318,"No longer a member of parliament, Abbott became secretary to the Primary Producers' Advisory Council, and it has been suggested that he was an organiser of the paramilitary Old Guard.",30,comp_sent
321,"McIntosh and his deputies arrive just as this occurs, and they swiftly shoot Gerald to death.",16,comp_sent
322,"Sly is a song by Australian rock band the Cat Empire that was the first single released from their 2005 album, Two Shoes.",23,comp_sent
327,"He immigrated to the United States in 1920 after the death of his father, and started by teaching Hebrew language.",20,comp_sent
330,"Löbichau is a municipality in the district Altenburger Land, in Thuringia, Germany.",12,comp_sent
333,"It is somewhat similar to another cerambycid, Rosalia alpina, which however is narrower and has three pairs of black spots.",20,comp_sent
334,"They are commonly known as bristle-mouth fishes, but that may also refer to the related bristlemouth family.",17,comp_sent
336,"About 4,000 pairs of southern fulmars also breed in the region.",11,comp_sent
337,"From 1904 Arab stock was used for cross-breeding;: 433  The horse was until recently the principal means of transport in the country, which had no tractors: it was thus essential to the national economy.",34,comp_sent
339,"After Friedrich's death, she moved into a home owned by some relatives, where she painted portraits, gave lessons, and took in elderly lodgers.",23,comp_sent
340,"Lush Life is a studio album by Australian jazz musician George Golla, credited to The George Golla Orchestra and released in 1986.",22,comp_sent
341,"Scarthyla vigilans occurs in open environments of lowlands, including flooded grasslands, degraded areas with low vegetation, and shallow standing water.",20,comp_sent
342,"Sweeting adds that what would be predictable electroboredom in more ineffectual outfits here takes on the status of obsession, building busily towards a tense and involving climax.",27,comp_sent
343,"Critical reception for The Midnight Swim was positive, Fangoria commented that the found footage format was integral to the story and something more akin to an emotional POV, stating that the camera uniquely acts as an almost-transparent bridge between you and a character's psyche.",44,comp_sent
344,"In a Twitter post of 18 December 2020, O'Neill said that they prefer to be known as Kay and that they use they/them pronouns.",24,comp_sent
345,"It had a stage band, which was regarded Students of Orange High School may choose to participate in a variety of sporting activities, including cricket, netball, rugby union, rugby league, soccer, softball, aerobics, badminton, and lawn bowls.",37,comp_sent
346,"After a stint in the SEABL with the Geelong Supercats, Barr was drafted by Fremantle with their ninth selection and sixty-eighth overall in the 2016 AFL Women's draft.",28,comp_sent
348,"Nagogo was later made Magajin gari, the district head of Katsina metropolis in 1937, making him the closest of the princes to his father.",24,comp_sent
349,"It was produced by Van Zandt's manager Kevin Eggers and Ron Frangipane, a pianist and string arranger who had studied under Igor Stravinsky and had previously worked with the Monkees, Dusty Springfield, John Lennon and The Rolling Stones.",38,comp_sent
350,"While most telenovelas were broadcast in their original audio with Bahasa Malaysia subtitles, some of them were broadcast with dubbing in the native language.",24,comp_sent
351,"As they return to camp, they come across a motorcycle dispatch rider in the Royal Corps of Signals who has been fatally injured in a traffic accident.",27,comp_sent
352,"The larvae feed on Aster tripolium, goldenrod, and other Aster species.",11,comp_sent
353,"Kellner used to be a member of the National Executive Board of the Boy Scouts of America, the organization's governing body.",21,comp_sent
354,"Korangi Creek Cantonment or Korangi Cantonment is a cantonment town of the city of Karachi, in Sindh, Pakistan.",18,comp_sent
355,"As an angry teenager, Niki begins to rebel, and Holiday loses his temper and slaps her.",16,comp_sent
356,"Svijany are available as a 10°-15°, dark and as a special variant.",12,comp_sent
357,"Whilst being a very good compilation for fans of the band, it includes several unlicensed tracks whose copyright is owned variously by Elektra, EMI, Sanctuary and Polydor Records.",28,comp_sent
359,"The competition format followed the 1948 format, now very close to the modern rapid fire pistol competition after significant variation before World War II.",24,comp_sent
360,"Kimberley Airport is an airport serving Kimberley, The airport is at an elevation of 3,950 feet.",16,comp_sent
361,"It comprised the area of the counties of Wakool, Townsend, Cadell, Denison, Urana, Hume, Goulburn, Wynyard, Mitchell, Selwyn, Buccleuch and part of Caira and Waradgery.",25,comp_sent
364,"While its ventrum, head, and pronotum are shiny, the elytra are without shine.",13,comp_sent
365,"Gorman is a member of the faculty of the International Space University, an assessor for the Australian Research Council, and a member of numerous space and archaeology organisations including the Space Industry Association of Australia.",35,comp_sent
366,"After working three seasons as a college scout, Fields was promoted to general manager of the Spurs’ G-League affiliate the Austin Spurs.",22,comp_sent
368,"As of 2018, there were 20 million monthly search queries, according to Hulbee CEO, Andreas Wiebe.",16,comp_sent
369,"While working on the Schiehallion experiment, Hutton recorded 23 Gaelic place-names on or near his measurement contour.",17,comp_sent
372,"The fungus produces a rosette-like fruit bodies with a shape suggestive of its common names wine glass fungus, and ruffled paper fungus.",22,comp_sent
374,"On many machines, these folds can collect lint, dirt, and moisture, resulting in mold and mildew growth, and a foul odor.",21,comp_sent
376,"Pratt Rock, also known as Pratt's Rock, is a rockface or other landform that includes a series of stone carvings in Prattsville, New York depicting the life of Zadock Pratt.",30,comp_sent
379,"He is reluctant and angry at his father for not meeting him for years , but relents after the two play a game of basketball and he is given a ride in the Batmobile.",34,comp_sent
383,"Castelletto sopra Ticino, also referred to by locals as Castelletto Ticino or just Castelletto, is a comune north of Novara.",20,comp_sent
384,"The Vlahini Lakes is a group of six lakes, five of which are permanent, in the Pirin mountain range in southwestern Bulgaria, 1.",23,comp_sent
386,"Que sera, sera is a 2002 Brazilian comedy film directed by Murilo Salles.",13,comp_sent
388,"However, he was the author of several books, one of which was titled Believing in America published in 1983.",19,comp_sent
389,"The overall suture patterns of the skull are closest to Delphinidae, while the topography of the rostrum and upper side of the skull is very similar to Ziphiidae, making placement of the genus difficult.",34,comp_sent
395,"In 2000, the Saints won their first playoff game as they hosted the St.",14,comp_sent
397,"MacLellan and McPhee had been childhood friends and teammates in Guelph, Ontario and also college teammates at Bowling Green.",19,comp_sent
399,"Marcia Baila is an homage to the Argentine choreographer and dancer Marcia Moretto, with whom Catherine Ringer had studied and performed in the 1970s.",24,comp_sent
400,"Sarah backs him up, but recognizing she is outnumbered, sets her gun down only to kick it to Ilsa, who ends the stalemate by drawing it on Federov.",28,comp_sent
401,"He has run in different series, with major success in Argentine Formula Renault and TC 2000.",16,comp_sent
403,"In May 2009, the Houston Chronicle reported that McIngvale refused to pay $48,000 dollars of taxes to the Greater Northside Management District that was assessed from 2005 to 2007; he paid taxes to the district in 2008.",37,comp_sent
405,"In 2004, Ishikawa was living in Sakai not far from Osaka Prefecture University, so to better understand microorganisms, Ishikawa spent long days from morning until evening reading technical books on microorganisms in the university's library.",35,comp_sent
407,"Kleve is a municipality in the district of Steinburg, in Schleswig-Holstein, Germany.",12,comp_sent
409,"The breed is quite good at jumping, making them suitable for the sport horse disciplines of hunt seat, show jumping, show hunter, and eventing.",24,comp_sent
410,"Currently, the institute has a total of 120 seats in CSE, 60 seats in IT, 90 seats in ECE and 30 seats in BT.",24,comp_sent
417,"Knowledge Park III or Knowledge Park 3 is an educational zone and a student neighborhood in south-western Greater Noida, Uttar Pradesh, India.",22,comp_sent
419,"Public access is principally found at Angel Lake, a trailhead at the west end of Secret Pass, and via a primitive road at Weeks Canyon/Lizzie's Basin.",26,comp_sent
421,"Larvae and pupae also contain three iridoid glucosides: aucubin, catalpa, and 6-O-glucopyranosylaucubin.",12,comp_sent
422,"The village was first mentioned in 1510 as Monicken nyem szyl, and means sluice of the monks which is referenced to the monastery of Gerkesklooster who built a sluice at the location around 1450.",34,comp_sent
427,"In the 1960s, 600 tons of the fish were harvested annually; today that figure is 15,000 tons.",17,comp_sent
432,"In 1672 the couple moved to Keizersgracht 672, then a newly designed part of the city, and now the Museum Van Loon.",22,comp_sent
434,"The original version of the song, included on Battling Giants, was a collaboration between Ben's Brother and English singer Joss Stone.",21,comp_sent
436,"Instead, paths in these directions, and any other path that does not bisect one of the six cell edges, will zig-zag; since no two directions are orthogonal, it is impossible to move forward in one direction without moving backwards slightly in the other.",43,comp_sent
437,"The Democratic Front of Albania which united all other mass organizations of the Party within it, was responsible for carrying out the Party's cultural and social programs to the masses, and was in charge of nominating candidates in elections.",39,comp_sent
439,"Highlights included the Piatigorsky Cup, photos from the 1963 and 1966 Piatigorsky Cup tournaments, and artifacts and photos related to Piatigorsky's impressive career in women's chess.",26,comp_sent
440,"Kapo was considered the third-highest party official at the time, after Hoxha and Shehu.",14,comp_sent
443,"Ten years later Atlantic Starr would reach the Top 10 with Nolan's song, Masterpiece.",14,comp_sent
448,"Out of the forested land, all of the forested land area is covered with heavy forests.",16,comp_sent
450,"Faber Company around 1909, with scales that followed a system invented by Johannes Schumacher that used discrete logarithms to calculate products of integers without approximation.",25,comp_sent
451,"To the residents, this island is known as 'Paradise.",9,comp_sent
452,"The street is named for the Cropsey family, one of the first to settle in New Utrecht.",17,comp_sent
453,"Calvet, next to the Hera farm, only to keep away from the neighbors.",13,comp_sent
454,"PI-PLC X domain-containing protein 1, also known as Phosphatidylinositol-specific phospholipase C, X domain containing 1, is an enzyme which in humans is encoded by the PLCXD1 gene.",27,comp_sent
457,"Reaching the national cup's semifinals the following year was Híspalis last major success, as the team collapsed in the 2008 season, ending last and being thus relegated.",27,comp_sent
461,"Each whaleboat was led by one of the three officers – Pollard, Chase, and Joy – each of whom then chose his five other crew members.",26,comp_sent
464,"Lloyd Aéreo Boliviano, also known as LAB, was the flag carrier of Bolivia.",13,comp_sent
465,"The stems of the inflorescences are shiny and covered with glands, which frequently have insects stuck to them.",18,comp_sent
467,"Merodio studied business administration at the Universidad Autónoma de Ciudad Juárez, graduating in 2001.",14,comp_sent
470,"He was formerly the interim manager at Odense BK after Bruce Rioch left the club in March 2007, and the manager of SønderjyskE, Randers FC, FC Vestsjælland, and Næstved BK.",30,comp_sent
473,"Zarniwoop further reveals that the Heart of Gold had been microscopically shrunk and placed in Zaphod's pocket so that they can use it to find the true ruler of the universe, whom Zarniwoop has located.",35,comp_sent
476,"In May 1986, the New York Times headlined that master lists of more than 36,000 files of war criminals, suspects and witnesses had been discovered on an open shelf in the military archive, that were kept secret in the United Nations archives for nearly 40 years.",46,comp_sent
478,"An anime adaptation was announced in the July 2021 issue of Monthly Shōnen Gangan published on June 11, 2021.",19,comp_sent
486,"In November 2005 he released Guitar Man – Live with his new backing band, BluesMove.",15,comp_sent
487,"It was released on November 11, 2016, the same day that Brooks' 10-disc box set, The Ultimate Collection, was released via Target.",22,comp_sent
488,"A new one was built from donations by Henry Perrine Baldwin, son of the original Baldwin pastor.",17,comp_sent
493,"The 5-year-old, 7+1⁄2-foot-tall on the neck, killing him.",8,comp_sent
